x,y,z,cluster,cell
-374.3914586005669,-245.14832610967855,-22.507765988976935,4,DG hippocampus cells
-399.6490867217468,-243.21521693583256,-24.124984959853812,4,DG hippocampus cells
-409.86479833651686,-246.28864104656856,-23.342414465922893,4,DG hippocampus cells
-327.7702642252168,-248.24562461036754,-22.407458216487832,4,DG hippocampus cells
-290.7866567368769,-244.94155774846755,-22.879650042197675,4,DG hippocampus cells
-273.2363865278169,-245.52822885375355,-21.050848719777814,4,DG hippocampus cells
-317.60692455222693,-244.24105272009456,-24.015354815519384,4,DG hippocampus cells
-231.71971779727687,-240.71473515819255,-23.537473736304626,4,DG hippocampus cells
-336.80762452295676,-240.63718638186256,-22.240667223510293,4,DG hippocampus cells
-383.97387191992675,-238.69760546351156,-18.872988884627915,4,DG hippocampus cells
-325.71398600287694,-237.46928012361556,-22.668063888625785,4,DG hippocampus cells
-314.60463291990686,-236.58199884216654,-21.961278907860613,4,DG hippocampus cells
-298.2115617514369,-238.87096111511255,-23.167594992651942,4,DG hippocampus cells
-283.35956421414676,-241.61527884026955,-24.543525866305533,4,DG hippocampus cells
-268.7668283116168,-240.20674801106554,-23.559001070990284,4,DG hippocampus cells
-279.6276019715867,-239.29615755880457,-28.915487880035514,4,DG hippocampus cells
-375.0824462815169,-234.26853189294457,-25.346914030156576,4,DG hippocampus cells
-398.3373024703368,-232.73196055132357,-24.723260448614063,4,DG hippocampus cells
-291.64480247455685,-237.88147351673754,-23.018781432847582,4,DG hippocampus cells
-240.2675041068169,-234.31035150898256,-23.923581741245474,4,DG hippocampus cells
-392.58088218342687,-232.14994186308957,-19.501849940699913,4,DG hippocampus cells
-305.5975807276068,-236.66756798368456,-23.029621038160784,4,DG hippocampus cells
-193.60515045289685,-231.75271071301054,-24.134704001530842,4,DG hippocampus cells
-342.2493291596668,-231.06039266122556,-18.154668047633315,4,DG hippocampus cells
-351.3002076495668,-231.80120484849456,-19.991539673505017,4,DG hippocampus cells
-268.3246066749168,-230.48656385402856,-23.68794410290092,4,DG hippocampus cells
-356.0860734273467,-227.85312473292456,-22.718822323422764,4,DG hippocampus cells
-286.07822614319684,-231.86603338719655,-19.984625305916214,4,DG hippocampus cells
-291.4453818939969,-226.76919810196657,-21.555145494002517,4,DG hippocampus cells
-258.42534871468683,-236.77382170679854,-22.803523575710344,4,DG hippocampus cells
-248.56371795382688,-229.75029046668456,-21.178235105340715,4,DG hippocampus cells
-309.0209411834569,-222.50416169405156,-21.399554773735314,4,DG hippocampus cells
-309.7542917185867,-229.70375276519556,-24.259710915987576,4,DG hippocampus cells
-393.8963667285268,-227.22869488519356,-25.557526074479952,4,DG hippocampus cells
-380.3127336431369,-228.15494348255856,-22.039263833114713,4,DG hippocampus cells
-223.62343040810674,-230.59086130137155,-22.398506767758494,4,DG hippocampus cells
-319.4906205251168,-223.38678719718754,-23.359817589324095,4,DG hippocampus cells
-263.13443093619685,-224.49853283184956,-23.822430212931977,4,DG hippocampus cells
-339.96036410750685,-220.49863328695955,-25.175578789126426,4,DG hippocampus cells
-359.18284578783687,-219.66250885444654,-22.06225672573631,4,DG hippocampus cells
-352.04646123343673,-218.11369785312854,-20.671153145160513,4,DG hippocampus cells
-301.9580438692369,-218.24682786797254,-21.589426579395813,4,DG hippocampus cells
-394.4936718315969,-219.69737441304557,-22.316118953326754,4,DG hippocampus cells
-263.38818216427694,-214.05379399972256,-22.168438007550414,4,DG hippocampus cells
-230.6543294848168,-219.92663143446555,-18.698326835062012,4,DG hippocampus cells
-299.01345824113673,-212.88874101060955,-23.414468829708532,4,DG hippocampus cells
-323.1810837500168,-212.58384086784255,-19.686270496653613,4,DG hippocampus cells
-342.7604693556468,-213.93545067793156,-19.955987425352312,4,DG hippocampus cells
-319.17328495127686,-204.39261477988555,-23.13726474519636,4,DG hippocampus cells
-286.09648488973676,-205.49399599296856,-24.401422043736584,4,DG hippocampus cells
-336.2822608749668,-205.89512934480354,-18.880979229516512,4,DG hippocampus cells
-270.63999982782684,-204.81149929903154,-21.984876909039315,4,DG hippocampus cells
-302.59863304728674,-206.02437668231056,-21.780097043382113,4,DG hippocampus cells
-275.59465238480675,-203.45023524475454,-21.918493940641614,4,DG hippocampus cells
-253.08758592220693,-208.09323780571856,-22.812222036414113,4,DG hippocampus cells
-381.8971661835269,-199.49101341870556,-24.591378764633625,4,DG hippocampus cells
-368.06017655815685,-199.80343160537853,-24.170604316080066,4,DG hippocampus cells
-329.2052699816668,-201.69191070741954,-23.320248333436012,4,DG hippocampus cells
-308.39753180429693,-197.14974120192755,-24.117819199738115,4,DG hippocampus cells
-302.0769135387468,-200.58722721054556,-24.543880292970833,4,DG hippocampus cells
-389.7818398139568,-198.84045325472357,-25.361766247838755,4,DG hippocampus cells
-358.81899114758676,-199.63526608593656,-19.615065542969717,4,DG hippocampus cells
-284.4623819443368,-197.20781655063058,-21.150392648427914,4,DG hippocampus cells
-339.9963092215869,-193.80801430880456,-22.194322130035516,4,DG hippocampus cells
-365.5785363480468,-191.46505130004658,-19.536504694608112,4,DG hippocampus cells
-350.4358806017269,-194.66101344921555,-20.541344318391715,4,DG hippocampus cells
-272.28076368329675,-193.61968999123656,-23.591478871026503,4,DG hippocampus cells
-369.70906573465686,-188.56056034626056,-25.224103907910074,4,DG hippocampus cells
-327.03828231776674,-187.41911763697357,-22.719462196060086,4,DG hippocampus cells
-347.9705301461868,-187.06393136832855,-23.367320022892656,4,DG hippocampus cells
-310.8341097798768,-184.00601108599858,-22.271204088974663,4,DG hippocampus cells
-252.8996022751669,-187.43756982352858,-23.845321516951113,4,DG hippocampus cells
-294.08415795122687,-183.83560475982256,-20.770849839323013,4,DG hippocampus cells
-316.7845560182268,-192.20327255651853,-22.004496567735515,4,DG hippocampus cells
-260.11642571687685,-182.16209031024255,-21.873165920106914,4,DG hippocampus cells
-355.84745269813675,-184.88667935536955,-20.218309984835116,4,DG hippocampus cells
-318.3276280501468,-182.44479181508257,-25.565551627620835,4,DG hippocampus cells
-344.1392090878269,-176.20526337102558,-22.678413364387225,4,DG hippocampus cells
-300.0359548529468,-178.81315778479353,-22.159852399809516,4,DG hippocampus cells
-359.49194050330675,-175.62193774127854,-20.987350175813113,4,DG hippocampus cells
-323.4453741132968,-174.51841735483254,-22.381632270803095,4,DG hippocampus cells
-310.3786763880769,-171.59595204198155,-23.039675512651456,4,DG hippocampus cells
-335.02150716639676,-168.50756535101254,-25.199960282632915,4,DG hippocampus cells
-265.4437869245669,-169.35402354626558,-24.623906375333323,4,DG hippocampus cells
-319.8481991110368,-165.46590726083053,-25.293633887186886,4,DG hippocampus cells
-312.4014261221869,-165.45918694356158,-25.337479615572704,4,DG hippocampus cells
-289.6009852276668,-162.60157239078558,-24.019312039942815,4,DG hippocampus cells
-313.7347398748168,-158.86762207493354,-25.362957234874223,4,DG hippocampus cells
-294.3186981736669,-151.50240155737157,-22.748837575485176,4,DG hippocampus cells
-231.9701844260469,-159.38598689725154,-24.844411657600233,4,DG hippocampus cells
-286.1431098044868,-152.67715677551456,-23.005582135910185,4,DG hippocampus cells
-276.1061942212468,-146.52089144083453,-22.376754340940863,4,DG hippocampus cells
-250.6501723854269,-147.21831753409754,-24.775653414315933,4,DG hippocampus cells
-266.9559636759668,-139.99762763704558,-20.728339857197714,4,DG hippocampus cells
-243.1622691103969,-122.33331336616953,-22.671907615635135,4,DG hippocampus cells
-230.6003906929168,-85.40356754937955,-21.962668841392713,4,DG hippocampus cells
-204.84838240934687,-81.19020749040556,-24.751384596861776,4,DG hippocampus cells
-821.8605787157728,402.4633557917555,-22.621996493299946,4,DG hippocampus cells
-792.3569196274689,407.02748760939744,-21.218706864393816,4,DG hippocampus cells
-629.0284384842538,430.6384388644444,-22.570196374819414,4,DG hippocampus cells
-748.6044049566618,458.6650041327374,-23.676868477050434,4,DG hippocampus cells
-753.4607739094819,600.6116682031254,-20.975285752375914,4,DG hippocampus cells
-895.4232721624069,-379.67173706714215,-21.716210589335816,4,DG hippocampus cells
-220.49084319265694,-336.70754981738355,-22.581700569580605,4,DG hippocampus cells
-328.7567216583868,-276.36620304724556,-15.504721536510814,4,DG hippocampus cells
-270.20618394632675,-264.56523333377555,-22.750748040770304,4,DG hippocampus cells
-275.30172357279685,-254.33488565548154,-22.723331535624634,4,DG hippocampus cells
-267.2439544815868,-255.66916799860854,-20.666540079058215,4,DG hippocampus cells
-227.63507098641685,-251.43044013295756,-22.933862615205005,4,DG hippocampus cells
-336.0362276287867,-251.46986970391455,-15.878147186029214,4,DG hippocampus cells
-259.7925376840269,-248.59312097029655,-20.945051652259217,4,DG hippocampus cells
-240.21859543121673,-244.14152359398756,-21.354737541740512,4,DG hippocampus cells
-388.5685704731168,-245.92860067807055,-21.379029164439213,4,DG hippocampus cells
-231.30560197158684,-246.47915755880456,-27.935987880035512,4,DG hippocampus cells
-288.4431019715869,-240.60215755880455,-28.262487880035515,4,DG hippocampus cells
-248.40011201322682,-240.31620017452855,-19.770609114422015,4,DG hippocampus cells
-213.63987483440678,-237.51825795641855,-24.243227442659766,4,DG hippocampus cells
-225.41355776236674,-235.62374410924056,-23.701246286013095,4,DG hippocampus cells
-201.25263684603692,-236.48479606019956,-23.210001231968555,4,DG hippocampus cells
-366.15010197158676,-236.68415755880454,-28.262487880035515,4,DG hippocampus cells
-233.03030239464692,-228.39596110190357,-19.785919397751016,4,DG hippocampus cells
-257.1748699105169,-227.90753847483555,-21.065281391485914,4,DG hippocampus cells
-240.91370016862675,-227.61384880156055,-17.129531666255716,4,DG hippocampus cells
-300.6062424375468,-227.36446947918455,-18.615930540067215,4,DG hippocampus cells
-200.1699111172568,-223.80725503963654,-22.141953926037715,4,DG hippocampus cells
-209.9524728782469,-225.93285949687555,-21.894828713183216,4,DG hippocampus cells
-223.71289486462683,-223.07710012879755,-21.604044233230013,4,DG hippocampus cells
-250.10787683717672,-221.38576015737056,-21.613414851361714,4,DG hippocampus cells
-346.1018046024669,-223.46485540626657,-16.723840789947815,4,DG hippocampus cells
-239.05815026369692,-220.19725355409355,-18.932817679799914,4,DG hippocampus cells
-377.1900414796769,-219.85446799532156,-20.272968491602114,4,DG hippocampus cells
-215.01077332739692,-216.07878452945656,-22.959456349596515,4,DG hippocampus cells
-235.4765227044868,-211.93618695327856,-18.527247041313213,4,DG hippocampus cells
-223.20044974676694,-211.16057442063155,-23.77005433202614,4,DG hippocampus cells
-244.1528696740868,-212.41421334077054,-18.421248960015113,4,DG hippocampus cells
-248.0779850539568,-209.73359245694456,-22.570572025296805,4,DG hippocampus cells
-187.02518764933689,-208.78853198335656,-21.171843123002315,4,DG hippocampus cells
-200.59052699229687,-208.73500014372553,-24.240613812098484,4,DG hippocampus cells
-205.86159993187675,-209.39170555989256,-18.258641537908815,4,DG hippocampus cells
-216.1280706380869,-205.75904825591357,-19.012315424363912,4,DG hippocampus cells
-194.74476069417688,-203.78951599541057,-24.584771960111773,4,DG hippocampus cells
-202.67768275761682,-201.41793729679557,-20.253229015406713,4,DG hippocampus cells
-147.97621667520684,-197.71763510563557,-20.796470943930814,4,DG hippocampus cells
-231.42070319322693,-196.06767152041056,-23.541628368691704,4,DG hippocampus cells
-214.82884170765692,-194.97817099966454,-21.587589541814616,4,DG hippocampus cells
-265.35309743175685,-194.89134905694755,-17.285188664187416,4,DG hippocampus cells
-230.32029165813674,-200.62535230096853,-20.195131762745312,4,DG hippocampus cells
-278.01537622772685,-189.88526105168955,-23.012722679518042,4,DG hippocampus cells
-246.59828942434683,-187.18613236354156,-20.373510807725115,4,DG hippocampus cells
-238.7790895911669,-182.58896875745353,-21.496202567711414,4,DG hippocampus cells
-222.45584732427687,-182.77665463036055,-21.127876726483215,4,DG hippocampus cells
-248.35064137225686,-177.29975051107954,-18.494666015440615,4,DG hippocampus cells
-243.4291179881168,-173.98502400158458,-23.014533862985655,4,DG hippocampus cells
-272.70393110517693,-176.05005331303255,-24.249141314623014,4,DG hippocampus cells
-327.1889172750168,-172.25511138466157,-23.205183790325755,4,DG hippocampus cells
-252.33061721738682,-170.39185762103256,-22.405398894347893,4,DG hippocampus cells
-232.38683378550672,-170.06674076205155,-21.808124158524414,4,DG hippocampus cells
-283.8964713546768,-171.78185925974356,-21.407231215907515,4,DG hippocampus cells
-224.0704662430469,-172.19747492407356,-23.705173508778024,4,DG hippocampus cells
-302.9102688684568,-160.43423145383258,-22.887263662724283,4,DG hippocampus cells
-253.63625037419683,-161.66767009745058,-22.367317835377325,4,DG hippocampus cells
