,X,Y,Z,cluster,cell
4943,38.10338080316859,21.76240506821034,25.944749443051172,6,"Breast cancer cells (PanCK, GATA3)"
4945,27.10701473587227,7.517594564087858,25.807379930375255,6,"Breast cancer cells (PanCK, GATA3)"
4946,26.705474063536087,-37.854357660935136,26.70360834565006,6,"Breast cancer cells (PanCK, GATA3)"
4947,24.927603029268255,-16.586690218907393,26.478050205557494,6,"Breast cancer cells (PanCK, GATA3)"
4951,16.58782700471255,8.851524692006024,26.393447917842572,6,"Breast cancer cells (PanCK, GATA3)"
4952,15.62203789186458,-49.90570827110929,26.763665935119413,6,"Breast cancer cells (PanCK, GATA3)"
4954,13.888979283806009,18.807661692260695,25.88179780325129,6,"Breast cancer cells (PanCK, GATA3)"
4955,12.482635100563073,-26.095743973803224,24.841562721876954,6,"Breast cancer cells (PanCK, GATA3)"
4958,7.939613854814979,-43.878881206837264,27.428525304824596,6,"Breast cancer cells (PanCK, GATA3)"
4959,5.231557804575971,-24.450443677546787,26.10900145066769,6,"Breast cancer cells (PanCK, GATA3)"
4962,-1.5392542366764133,22.97666772262039,25.98301427237167,6,"Breast cancer cells (PanCK, GATA3)"
4965,-9.513589638499752,8.134102795017611,26.899968229316443,6,"Breast cancer cells (PanCK, GATA3)"
4966,-8.63057853932321,-17.775671641072677,25.050165150190054,6,"Breast cancer cells (PanCK, GATA3)"
4968,-9.722304360086298,-54.65494182740804,25.151207741139487,6,"Breast cancer cells (PanCK, GATA3)"
4969,-8.786886517059827,-81.10684047224146,25.60582377727725,6,"Breast cancer cells (PanCK, GATA3)"
4974,-15.827463843663338,-19.826825727161236,25.721005538747228,6,"Breast cancer cells (PanCK, GATA3)"
4976,-22.93623716641048,-32.99689868988588,26.597762872664624,6,"Breast cancer cells (PanCK, GATA3)"
4978,-25.76931369440223,-49.11061917941004,26.962709829078563,6,"Breast cancer cells (PanCK, GATA3)"
4981,-24.377449287622596,-2.191862117263099,23.504178755632232,6,"Breast cancer cells (PanCK, GATA3)"
4986,-42.42286818245327,-50.36772664489234,25.420185885757007,6,"Breast cancer cells (PanCK, GATA3)"
4989,-49.579379112183915,-67.79572176638595,25.417512088965566,6,"Breast cancer cells (PanCK, GATA3)"
4999,-79.82466691847657,48.08560344747514,25.190239361692846,6,"Breast cancer cells (PanCK, GATA3)"
5001,-86.15790590862713,-1.5418164551626887,25.25997784239022,6,"Breast cancer cells (PanCK, GATA3)"
5008,-102.2363110762405,-34.03234992214118,26.576048674331425,6,"Breast cancer cells (PanCK, GATA3)"
5238,103.13119540102213,-42.204243069644065,24.466962638416128,6,"Breast cancer cells (PanCK, GATA3)"
5248,97.50595650947884,-26.7609200882776,24.308816436791652,6,"Breast cancer cells (PanCK, GATA3)"
5257,87.80921737904413,31.644736522192716,25.33383861957781,6,"Breast cancer cells (PanCK, GATA3)"
5260,84.27778880761554,11.441471216070227,26.11751208896557,6,"Breast cancer cells (PanCK, GATA3)"
5263,80.51227860353384,-27.423630824746112,24.67261412978189,6,"Breast cancer cells (PanCK, GATA3)"
