,Area,X,Y,Z
0,66,1017.3484848484849,468.6363636363636,31.818181818181817
1,30,969.3666666666667,441.6333333333333,32.0
2,66,925.3636363636364,528.5,31.818181818181817
3,139,915.0719424460432,566.043165467626,31.68345323741007
4,39,912.1282051282051,529.8717948717949,32.0
5,32,899.625,629.84375,32.0
6,107,899.0747663551402,476.95327102803736,31.654205607476637
7,116,897.3965517241379,509.4051724137931,31.67241379310345
8,129,889.1395348837209,480.6046511627907,31.666666666666668
9,33,888.7272727272727,632.1515151515151,32.0
10,83,883.1927710843373,449.51807228915663,31.710843373493976
11,123,882.7886178861788,435.5284552845528,31.642276422764226
12,154,875.8506493506494,638.9285714285714,31.707792207792206
13,88,875.9886363636364,622.7727272727273,31.75
14,63,875.047619047619,432.6984126984127,31.793650793650794
15,27,872.4814814814815,420.1111111111111,32.0
16,45,865.7111111111111,619.1333333333333,32.0
17,92,862.2717391304348,654.6739130434783,31.684782608695652
18,50,861.02,630.08,32.0
19,78,860.9230769230769,556.3461538461538,31.871794871794872
20,47,860.7021276595744,543.2978723404256,32.0
21,97,855.2783505154639,659.8453608247422,31.690721649484537
22,67,853.1641791044776,629.2835820895523,31.850746268656717
23,89,853.3595505617977,609.2471910112359,31.674157303370787
24,30,851.0,400.5,32.0
25,143,850.4265734265734,648.6013986013986,31.853146853146853
26,56,848.4464285714286,636.8928571428571,31.803571428571427
27,27,845.3703703703703,643.1111111111111,32.0
28,78,844.4102564102565,462.05128205128204,31.71794871794872
29,62,842.258064516129,609.6774193548387,32.0
30,126,838.6587301587301,672.4920634920635,31.61904761904762
31,105,838.1904761904761,591.7047619047619,31.65714285714286
32,105,832.8285714285714,640.4666666666667,31.81904761904762
33,91,833.5384615384615,602.3516483516484,31.86813186813187
34,26,831.2307692307693,683.7692307692307,32.0
35,56,831.1607142857143,479.75,32.0
36,51,829.9019607843137,630.7450980392157,32.0
37,52,827.5192307692307,456.53846153846155,32.0
38,50,827.5,439.36,32.0
39,69,826.3913043478261,678.6231884057971,31.797101449275363
40,59,825.7796610169491,580.5932203389831,32.0
41,30,822.9333333333333,570.0,32.0
42,74,821.0945945945946,381.7567567567568,31.824324324324323
43,78,818.6538461538462,669.6282051282051,31.743589743589745
44,109,819.3577981651376,600.954128440367,31.642201834862384
45,101,817.1782178217821,503.53465346534654,31.871287128712872
46,54,817.2407407407408,573.3333333333334,32.0
47,77,814.2077922077922,626.987012987013,31.896103896103895
48,46,814.8695652173913,613.6304347826087,32.0
49,73,815.5205479452055,444.958904109589,31.863013698630137
50,140,815.0428571428571,337.17857142857144,31.664285714285715
51,44,810.7954545454545,434.1136363636364,32.0
52,109,810.2935779816514,655.6238532110092,31.486238532110093
53,196,809.5714285714286,644.6071428571429,31.255102040816325
54,38,810.3421052631579,600.6052631578947,32.0
55,115,809.9826086956522,473.3478260869565,31.678260869565218
56,56,808.3928571428571,583.125,32.0
57,49,804.6938775510204,651.6122448979592,32.0
58,37,804.1891891891892,398.43243243243245,32.0
59,46,803.6521739130435,563.6304347826087,32.0
60,60,803.05,556.1666666666666,32.0
61,59,802.5593220338983,498.3728813559322,32.0
62,84,800.3928571428571,638.9404761904761,31.761904761904763
63,45,799.5777777777778,522.4666666666667,32.0
64,92,799.1521739130435,596.3695652173913,32.0
65,46,799.0869565217391,574.195652173913,32.0
66,61,795.639344262295,667.9508196721312,31.83606557377049
67,68,794.9264705882352,620.5882352941177,32.0
68,58,794.5172413793103,577.9827586206897,31.620689655172413
69,82,793.5,460.5243902439024,32.0
70,96,792.1145833333334,358.9270833333333,31.791666666666668
71,58,790.948275862069,645.2413793103449,31.862068965517242
72,50,791.04,505.8,32.0
73,43,790.0,628.7674418604652,32.0
74,113,791.4424778761062,551.787610619469,31.75221238938053
75,191,791.4083769633507,427.0471204188482,31.214659685863875
76,136,788.4044117647059,661.6176470588235,31.110294117647058
77,76,789.5131578947369,527.6973684210526,31.894736842105264
78,71,785.5492957746479,581.8169014084507,31.633802816901408
79,57,785.1052631578947,561.2631578947369,31.82456140350877
80,45,786.2,611.3333333333334,32.0
81,62,784.8870967741935,497.53225806451616,32.0
82,67,784.8656716417911,476.44776119402985,31.880597014925375
83,63,783.7777777777778,620.2222222222222,31.825396825396826
84,39,783.8717948717949,574.1282051282051,32.0
85,37,777.7567567567568,635.918918918919,32.0
86,37,777.7567567567568,626.8648648648649,31.864864864864863
87,55,777.0545454545454,605.1090909090909,31.836363636363636
88,44,777.1818181818181,513.2727272727273,32.0
89,45,776.5777777777778,491.2,32.0
90,34,776.0,619.3235294117648,32.0
91,36,773.0,589.4444444444445,32.0
92,37,773.3243243243244,538.1621621621622,32.0
93,57,773.3684210526316,403.10526315789474,31.75438596491228
94,79,770.8987341772151,670.2278481012659,31.72151898734177
95,109,771.605504587156,415.2201834862385,31.71559633027523
96,38,770.421052631579,505.57894736842104,32.0
97,55,768.8181818181819,613.4,32.0
98,77,768.4675324675325,542.7922077922078,31.753246753246753
99,53,767.9433962264151,481.8301886792453,31.830188679245282
100,107,765.9252336448598,683.5140186915888,31.64485981308411
101,175,767.1371428571429,600.7428571428571,31.605714285714285
102,76,765.671052631579,567.1315789473684,31.842105263157894
103,26,761.3461538461538,663.6538461538462,32.0
104,37,761.8648648648649,533.081081081081,32.0
105,72,761.2222222222222,578.3611111111111,32.0
106,88,761.5568181818181,495.09090909090907,31.829545454545453
107,77,758.025974025974,515.4935064935065,31.90909090909091
108,66,758.2575757575758,438.43939393939394,32.0
109,130,757.8076923076923,481.0,31.76923076923077
110,180,754.7444444444444,733.4611111111111,31.272222222222222
111,52,756.4615384615385,614.3269230769231,31.557692307692307
112,72,756.2916666666666,554.5555555555555,32.0
113,88,753.6363636363636,569.4772727272727,31.818181818181817
114,58,750.5,440.0,31.74137931034483
115,110,748.8909090909091,351.44545454545454,31.636363636363637
116,135,748.0370370370371,536.4444444444445,31.785185185185185
117,91,747.7362637362637,583.4065934065934,31.560439560439562
118,25,748.24,431.64,32.0
119,175,747.3885714285715,489.60571428571427,31.428571428571427
120,192,746.2447916666666,421.34375,31.536458333333332
121,80,745.9625,743.9625,31.8125
122,55,745.7454545454545,478.5272727272727,32.0
123,132,743.9090909090909,718.5227272727273,31.318181818181817
124,42,745.047619047619,579.2857142857143,32.0
125,111,743.7837837837837,402.4684684684685,32.0
126,113,744.0973451327434,634.7168141592921,31.43362831858407
127,117,743.9487179487179,651.1709401709402,31.23931623931624
128,102,744.0098039215686,521.3137254901961,31.852941176470587
129,83,742.0481927710844,707.6746987951807,31.72289156626506
130,82,741.9146341463414,587.2560975609756,31.609756097560975
131,175,741.6857142857143,600.5142857142857,31.617142857142856
132,56,740.5892857142857,351.73214285714283,32.0
133,79,740.0632911392405,553.2784810126582,32.0
134,80,738.9,330.4,31.75
135,71,738.3239436619718,674.3943661971831,31.746478873239436
136,135,737.9555555555555,660.7703703703704,31.392592592592592
137,46,736.5869565217391,635.5869565217391,32.0
138,134,736.9104477611941,567.4402985074627,31.671641791044777
139,108,736.3425925925926,317.18518518518516,31.712962962962962
140,67,735.7910447761194,447.2835820895522,31.880597014925375
141,164,736.4451219512196,466.6890243902439,31.567073170731707
142,41,734.439024390244,417.8048780487805,32.0
143,170,732.8,737.2882352941176,31.141176470588235
144,61,731.1803278688525,644.9180327868852,31.852459016393443
145,44,730.5,625.0,32.0
146,177,726.1468926553672,683.4293785310734,31.440677966101696
147,246,725.9268292682926,669.0284552845528,31.166666666666668
148,54,727.6111111111111,438.6111111111111,32.0
149,137,724.8029197080292,655.978102189781,31.56934306569343
150,51,722.7647058823529,709.4705882352941,32.0
151,79,722.632911392405,457.73417721518985,31.873417721518987
152,96,722.2604166666666,585.7395833333334,31.645833333333332
153,188,719.2659574468086,721.813829787234,31.1968085106383
154,258,719.0581395348837,647.3372093023256,31.07751937984496
155,87,718.4942528735633,740.3678160919541,31.71264367816092
156,44,718.1818181818181,527.1818181818181,32.0
157,68,716.9558823529412,572.7794117647059,32.0
158,90,717.2111111111111,534.6444444444444,31.733333333333334
159,46,716.2173913043479,812.5652173913044,32.0
160,185,717.9567567567567,497.0162162162162,31.556756756756755
161,46,715.4565217391304,700.195652173913,31.82608695652174
162,74,714.472972972973,559.6891891891892,31.54054054054054
163,152,715.7631578947369,509.8355263157895,31.657894736842106
164,78,713.7051282051282,470.1794871794872,31.884615384615383
165,59,712.8644067796611,548.7457627118644,32.0
166,84,714.6428571428571,383.9642857142857,31.857142857142858
167,46,712.2826086956521,750.7391304347826,32.0
168,43,710.4418604651163,734.1395348837209,32.0
169,62,710.5,611.5,32.0
170,65,711.2615384615384,582.1692307692308,31.815384615384616
171,36,708.8611111111111,602.6111111111111,32.0
172,132,707.8863636363636,701.8939393939394,31.704545454545453
173,71,706.3239436619718,288.84507042253523,31.746478873239436
174,203,706.064039408867,459.9655172413793,31.211822660098523
175,221,708.1131221719457,576.1764705882352,31.04524886877828
176,34,705.0294117647059,520.6470588235294,32.0
177,38,704.3157894736842,486.9736842105263,32.0
178,123,704.1788617886178,541.219512195122,31.609756097560975
179,57,701.8421052631579,387.63157894736844,32.0
180,168,701.6845238095239,631.625,31.589285714285715
181,77,700.4805194805194,679.1298701298701,32.0
182,43,699.9302325581396,585.8837209302326,32.0
183,60,699.65,565.15,32.0
184,150,700.18,528.4333333333333,31.72
185,116,698.3965517241379,315.8189655172414,31.82758620689655
186,45,696.2444444444444,494.31111111111113,32.0
187,47,695.5744680851063,591.6382978723404,32.0
188,52,695.5961538461538,375.9423076923077,32.0
189,184,697.6630434782609,346.82608695652175,31.13586956521739
190,88,695.8977272727273,747.1704545454545,32.0
191,55,694.2,718.8909090909091,31.78181818181818
192,45,694.6666666666666,356.8666666666667,32.0
193,44,694.3409090909091,332.8181818181818,32.0
194,47,691.9787234042553,391.4255319148936,32.0
195,46,689.1739130434783,584.0,32.0
196,117,691.2905982905983,508.87179487179486,31.623931623931625
197,90,690.1666666666666,453.8222222222222,31.833333333333332
198,34,690.0,446.2647058823529,32.0
199,162,688.5,573.6604938271605,31.555555555555557
200,53,688.9056603773585,520.6792452830189,32.0
201,40,689.275,279.3,32.0
202,77,686.8831168831168,730.2337662337662,31.74025974025974
203,184,686.2663043478261,605.945652173913,31.402173913043477
204,90,686.2555555555556,434.81111111111113,32.0
205,82,685.5243902439024,323.5731707317073,31.902439024390244
206,98,685.1020408163265,345.94897959183675,31.724489795918366
207,107,684.4859813084112,228.6728971962617,31.682242990654206
208,195,686.1282051282051,468.574358974359,31.28205128205128
209,35,681.8285714285714,526.6285714285714,32.0
210,79,682.6962025316456,275.36708860759495,31.734177215189874
211,41,682.8048780487804,682.8048780487804,32.0
212,77,682.6623376623377,333.53246753246754,31.805194805194805
213,46,680.9130434782609,297.5,32.0
214,38,678.421052631579,454.8421052631579,32.0
215,153,679.3202614379085,354.0457516339869,31.50326797385621
216,66,677.8636363636364,424.8636363636364,32.0
217,217,677.9815668202765,317.6774193548387,31.3963133640553
218,57,676.6315789473684,305.57894736842104,32.0
219,125,675.472,568.832,31.728
220,158,674.4683544303797,401.4367088607595,31.474683544303797
221,75,675.48,369.58666666666664,31.706666666666667
222,60,674.05,490.51666666666665,32.0
223,50,674.58,259.2,32.0
224,99,672.7070707070707,647.1414141414141,31.90909090909091
225,96,669.9791666666666,723.59375,31.78125
226,61,670.016393442623,507.3114754098361,31.852459016393443
227,98,670.1020408163265,333.31632653061223,31.612244897959183
228,66,667.8484848484849,581.5151515151515,31.772727272727273
229,125,665.608,677.256,31.576
230,56,666.5535714285714,437.10714285714283,32.0
231,106,666.0566037735849,364.9811320754717,31.68867924528302
232,102,665.4901960784314,528.4313725490196,31.764705882352942
233,166,664.2951807228916,318.43975903614455,31.46385542168675
234,111,661.6126126126126,422.81081081081084,31.71171171171171
235,93,663.3225806451613,411.3763440860215,31.827956989247312
236,42,662.0,694.452380952381,32.0
237,103,661.9611650485436,471.28155339805824,31.737864077669904
238,106,663.9056603773585,307.8679245283019,31.91509433962264
239,125,659.6,808.184,31.576
240,55,660.9090909090909,517.6363636363636,32.0
241,34,659.3235294117648,446.8529411764706,32.0
242,116,659.8534482758621,398.36206896551727,31.698275862068964
243,197,659.5736040609137,551.8578680203045,31.578680203045685
244,25,660.08,296.92,32.0
245,95,657.5684210526316,605.6947368421053,31.768421052631577
246,63,657.3809523809524,589.7142857142857,31.666666666666668
247,195,654.7179487179487,582.0974358974358,31.07179487179487
248,113,655.0088495575221,564.6991150442478,31.58407079646018
249,74,654.0405405405405,942.4459459459459,31.72972972972973
250,62,652.8064516129032,746.6451612903226,32.0
251,123,651.6666666666666,714.6910569105692,31.666666666666668
252,100,652.85,324.4,31.76
253,79,652.1772151898734,465.7974683544304,31.670886075949365
254,119,649.90756302521,660.8991596638656,31.81512605042017
255,22,648.8636363636364,577.8636363636364,32.0
256,54,648.3888888888889,642.7777777777778,32.0
257,63,647.6190476190476,400.0952380952381,32.0
258,92,647.4891304347826,672.7934782608696,31.73913043478261
259,206,646.2621359223301,587.1165048543689,30.902912621359224
260,55,647.2727272727273,481.3090909090909,32.0
261,55,646.2,568.3272727272728,32.0
262,28,644.5,389.7857142857143,32.0
263,75,642.8266666666667,939.64,31.76
264,36,642.0,554.5,32.0
265,81,640.7037037037037,683.0123456790124,31.703703703703702
266,120,640.5083333333333,648.7666666666667,31.55
267,63,640.968253968254,420.23809523809524,32.0
268,77,639.8571428571429,783.987012987013,31.649350649350648
269,48,638.9583333333334,746.75,32.0
270,46,638.7391304347826,474.5652173913044,32.0
271,94,637.6595744680851,691.8936170212766,31.638297872340427
272,210,637.4857142857143,453.3666666666667,31.438095238095237
273,88,636.7954545454545,713.2613636363636,31.863636363636363
274,50,637.7,379.06,32.0
275,42,636.0952380952381,432.3809523809524,32.0
276,59,635.0677966101695,634.8813559322034,31.661016949152543
277,82,635.0731707317074,629.0853658536586,31.646341463414632
278,312,636.1185897435897,519.8942307692307,30.987179487179485
279,80,632.8125,438.175,31.5625
280,47,631.4893617021277,761.936170212766,32.0
281,141,628.2765957446809,452.3829787234043,31.574468085106382
282,141,629.6241134751773,409.4751773049645,31.602836879432623
283,36,629.1666666666666,624.3333333333334,32.0
284,62,628.741935483871,297.56451612903226,31.741935483870968
285,166,627.8734939759037,563.8674698795181,31.43975903614458
286,35,627.6285714285714,750.0571428571428,32.0
