,X,Y,Z,cluster,cell
17832,-66.09206362600054,104.98748553852863,-28.50132767755241,11,Potentional fibroblasts (fibronectin)
17839,-73.02361772912326,123.41867653344514,-30.039454039208188,2,Potentially fibroblasts (fibronectin)
17840,-74.33225970443192,-119.30663210853015,-29.298713298467447,4,Potentially fibroblasts (fibronectin)
17841,-73.53076157709108,-182.39932873774364,-30.337414921438736,2,Potentially fibroblasts (fibronectin)
17843,-76.31727843102362,315.85909822854853,-28.449774472000534,2,Potentially fibroblasts (fibronectin)
17844,-79.76168913386135,67.2691937172957,-30.10351810327225,11,Potentional fibroblasts (fibronectin)
17848,-80.21767637109855,-281.47329877519684,-27.479268854023005,9,Potentially fibroblasts (fibronectin)
17853,-84.05583694020424,-120.02004674267647,-28.854268854023005,4,Potentially fibroblasts (fibronectin)
17854,-86.51286576503793,-178.06572301762105,-26.963359763113914,9,Potentially fibroblasts (fibronectin)
17857,-87.86559303776522,69.18622503432698,-28.854268854023005,11,Potentional fibroblasts (fibronectin)
17858,-87.61871803776523,62.02149289146985,-27.666768854023005,11,Potentional fibroblasts (fibronectin)
17860,-89.72704555173163,127.62213884119046,-27.513486731117972,2,Potentially fibroblasts (fibronectin)
17861,-90.46559303776525,-165.07837123896496,-28.47166015837083,2,Potentially fibroblasts (fibronectin)
17863,-93.65829376769221,45.50176205205378,-28.387115569351465,11,Potentional fibroblasts (fibronectin)
17868,-97.35130732347955,119.5576536057556,-28.854268854023005,11,Potentional fibroblasts (fibronectin)
17872,-98.21862334079555,-187.70057150246953,-28.066390066144223,2,Potentially fibroblasts (fibronectin)
17875,-100.30195667412886,57.584782032883936,-28.20780420755836,11,Potentional fibroblasts (fibronectin)
